DateTime,Entries,UniqueIPs
1472760987,23900,23990
1472761711,23903,23993
1472762423,23899,23989
1472763147,23896,23986
1472763866,23897,23987
1472764583,23894,23984
1472765302,23897,23987
1472766040,23897,23987
1472766751,23897,23987
1472767460,23890,23980
1472768193,23885,23975
1472768918,23878,23968
1472769618,23876,23966
1472770342,23875,23965
1472771058,23876,23966
1472771794,23870,23960
1472772509,23867,23957
1472773221,23869,23959
1472773946,23869,23959
1472774675,23865,23955
1472775387,23863,23953
1472776101,23865,23955
1472776822,23859,23949
1472777537,23858,23948
1472778267,23859,23949
1472779234,23856,23946
1472779949,23858,23948
1472780655,23846,23936
1472781375,23852,23942
1472782101,23854,23944
1472782824,23857,23947
1472783556,23854,23944
1472784255,23852,23942
1472784989,23847,23937
1472785711,23842,23932
1472786432,23843,23933
1472787139,23844,23934
1472787861,23842,23932
1472788585,23845,23935
1472789318,23838,23928
1472790011,23844,23934
1472790746,23843,23933
1472791451,23847,23937
1472792185,23847,23937
1472792899,23851,23941
1472793625,23844,23934
1472794355,23846,23936
1472795063,23840,23930
1472795773,23843,23933
1472796498,23844,23934
1472797224,23842,23932
1472797948,23842,23932
1472798658,23847,23937
1472799376,23852,23942
1472800098,23852,23942
1472801092,23853,23943
1472801810,23851,23941
1472802504,23854,23944
1472803265,23857,23947
1472804200,23862,23952
1472804916,23862,23952
1472805627,23861,23951
1472806335,23861,23951
1472807063,23860,23950
1472807784,23863,23953
1472808506,23863,23953
1472809221,23866,23956
1472809942,23867,23957
1472810667,23867,23957
1472811403,23864,23954
1472812097,23868,23958
1472812833,23860,23950
1472814258,23854,23944
1472814985,23854,23945
1472815710,23856,23947
1472816427,23861,23952
1472817144,23853,23944
1472817852,23858,23949
1472818584,23854,23945
1472819302,23858,23949
1472820023,23853,23944
1472820656,23855,23946
1472821520,23852,23943
1472822389,23849,23940
1472823663,23847,23938
1472824334,23849,23940
1472825062,23845,23936
1472825785,23843,23934
1472826502,23842,23933
1472827229,23847,23938
1472827955,23851,23942
1472828939,23845,23936
1472829621,23842,23934
1472830352,23844,23936
1472831051,23838,23929
1472831786,23837,23928
1472832499,23838,23929
1472833223,23827,23918
1472833950,23826,23917
1472834656,23828,23919
1472835379,23837,23928
1472836109,23834,23925
1472836813,23840,23931
1472837568,23838,23929
1472838251,23840,23931
1472838985,23830,23921
1472839706,23826,23917
1472840422,23835,23926
1472841147,23827,23918
1472841853,23828,23919
1472842582,23829,23920
1472843324,23819,23910
1472844016,23820,23911
1472844755,23817,23908
1472845456,23812,23903
1472846183,23814,23905
1472846935,23803,23894
1472847615,23807,23898
1472848342,23809,23898
1472849062,23804,23893
1472849807,23800,23889
1472850503,23799,23888
1472851242,23796,23884
1472851955,23797,23885
1472852654,23791,23879
1472853375,23784,23872
1472854117,23782,23870
1472854809,23782,23870
1472855543,23778,23866
1472856254,23776,23864
1472856989,23770,23858
1472857729,23767,23855
1472858427,23766,23854
1472859157,23763,23851
1472859853,23762,23850
1472860575,23769,23857
1472861267,23771,23859
1472862022,23776,23864
1472862759,23779,23867
1472863455,23777,23865
1472864176,23777,23865
1472864900,23776,23864
1472865630,23774,23862
1472866361,23773,23861
1472867049,23771,23859
1472867780,23765,23853
1472868509,23764,23852
1472869471,23757,23845
1472870180,23764,23852
1472870900,23746,23834
1472871659,23749,23837
1472872350,23741,23829
1472873053,23739,23827
1472873823,23741,23829
1472874508,23742,23830
1472875265,23740,23828
1472875944,23735,23822
1472876678,23729,23816
1472877385,23732,23819
1472878107,23730,23817
1472878856,23724,23811
1472879548,23720,23807
1472880258,23723,23810
1472880983,23726,23813
1472881700,23728,23815
1472882465,23726,23813
1472883143,23724,23811
1472883868,23724,23811
1472884605,23725,23812
1472885304,23722,23808
1472886064,23727,23813
1472886749,23725,23811
1472887448,23724,23810
1472888186,23721,23807
1472888898,23722,23808
1472889664,23719,23805
1472890343,23717,23803
1472891054,23721,23807
1472891812,23730,23816
1472892509,23729,23815
1472893259,23724,23810
1472893944,23723,23809
1472894655,23722,23808
1472895392,23729,23815
1472896095,23733,23819
1472897170,23735,23821
1472897849,23736,23822
1472898752,23737,23822
1472899451,23730,23814
1472900186,23731,23815
1472900904,23728,23812
1472901639,23731,23815
1472902342,23736,23821
1472903053,23736,23821
1472903775,23746,23831
1472904518,23734,23819
1472905261,23735,23820
1472905956,23729,23814
1472906656,23724,23809
1472907374,23727,23812
1472908132,23722,23807
1472908813,23722,23807
1472909558,23721,23806
1472910251,23725,23810
1472910988,23722,23807
1472911707,23723,23808
1472912416,23726,23811
1472913139,23726,23811
1472913853,23727,23812
1472914584,23716,23801
1472915309,23718,23803
1472916024,23716,23801
1472916740,23719,23804
1472917457,23706,23791
1472918180,23714,23799
1472918908,23714,23799
1472919618,23710,23795
1472920340,23709,23794
1472921064,23705,23790
1472921785,23707,23792
1472922509,23704,23789
1472923210,23701,23786
1472923956,23699,23784
1472924648,23707,23792
1472925392,23705,23790
1472926125,23706,23791
1472926821,23704,23789
1472927542,23704,23789
1472928255,23690,23775
1472928983,23695,23780
1472929711,23697,23782
1472930412,23691,23776
1472931147,23689,23774
1472931849,23687,23772
1472932588,23682,23767
1472933303,23686,23771
1472934014,23681,23766
1472934747,23681,23766
1472935454,23681,23766
1472936181,23682,23767
1472936951,23671,23756
1472937611,23675,23760
1472938359,23674,23759
1472939048,23671,23756
1472939785,23660,23745
1472940503,23662,23747
1472941220,23660,23745
1472941950,23649,23734
1472942660,23652,23737
1472943375,23648,23733
1472944106,23653,23738
1472944825,23653,23738
1472945551,23649,23734
1472946261,23648,23733
1472946977,23654,23739
1472947699,23653,23738
1472948624,23646,23731
1472949380,23646,23731
1472950100,23647,23732
1472950848,23649,23734
1472951542,23645,23730
1472952255,23647,23732
1472952990,23647,23731
1472953710,23647,23731
1472954495,23640,23724
1472955148,23642,23726
1472955853,23647,23731
1472956584,23648,23732
1472957314,23651,23735
1472958062,23647,23731
1472958751,23646,23730
1472959459,23648,23732
1472960184,23645,23729
1472960905,23650,23733
1472961664,23653,23736
1472962343,23653,23736
1472963049,23648,23731
1472963792,23642,23725
1472964504,23641,23724
1472965263,23642,23725
1472965939,23644,23727
1472966659,23643,23726
1472967414,23642,23725
1472968098,23641,23724
1472968862,23641,23724
1472969553,23643,23726
1472970249,23644,23727
1472970977,23648,23731
1472971700,23651,23734
1472972471,23655,23738
1472973155,23660,23743
1472973856,23660,23743
1472974586,23655,23738
1472975296,23649,23732
1472976067,23651,23734
1472976999,23653,23736
1472977695,23661,23746
1472978430,23655,23740
1472979142,23652,23737
1472979866,23652,23737
1472980580,23657,23742
1472981303,23662,23747
1472982025,23660,23745
